,molecule_chembl_id,bioactivity_class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
5206,CHEMBL5208951,active,COc1cc2c(Nc3ccc(C(=O)/C=C/c4nc(C)c(C)nc4C)cc3)ncnc2c(OC)c1OC,485.54400000000027,5.010560000000004,1.0,9.0,7.0
5207,CHEMBL3969241,inactive,O=C(c1ccccc1F)N1CCN(C2CCN(Cc3ccccc3)CC2)CC1,381.4950000000001,3.2481000000000027,0.0,3.0,3.6989700043360183
5208,CHEMBL4779749,inactive,C#CCN1CCCC(COC(=O)Nc2ccc(C(C)C)cc2)C1,314.4290000000001,3.703700000000003,1.0,3.0,4.0
5209,CHEMBL5429766,inactive,CCCN(CCc1ccccc1OC)Cc1cccc(OC)c1OCc1ccccc1,419.56500000000017,5.737500000000006,0.0,4.0,5.0
5210,CHEMBL3289936,active,CN(C)c1ccc(/C=C2/CNC/C(=C\c3ccc(N(C)C)cc3[N+](=O)[O-])C2=O)c([N+](=O)[O-])c1,451.4830000000002,3.274300000000002,1.0,8.0,6.055517327849832
5211,CHEMBL5219563,active,C/C=C1\CN2CCc3c([nH]c4ccccc34)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,366.4610000000002,3.736600000000003,1.0,4.0,7.6307841425898575
5212,CHEMBL1082977,inactive,CC1CCN(c2nccc(NCc3ccccc3)n2)CC1,282.3910000000001,3.325000000000002,1.0,4.0,4.735182176990463
5213,CHEMBL456881,inactive,O=c1c2ccccc2nc2n1CCC2,186.21399999999997,1.3426999999999998,0.0,3.0,4.0835460514500745
5214,CHEMBL4780172,inactive,CN1C[C@@H](c2ccc(Cl)cc2Cl)[C@@]2(CSc3ccccc3C2=O)C12C(=O)c1ccccc1C2=O,508.4260000000003,5.815400000000006,0.0,5.0,4.617622696531886
5215,CHEMBL65891,inactive,CCN(CC)CCS/C(=N\O)c1nc(C(C)(C)C)no1,300.42800000000005,2.5779000000000005,1.0,7.0,3.408935392973501
5217,CHEMBL465514,inactive,C[C@H](CC(=O)C[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O)C(=O)O,512.6430000000005,4.547900000000004,1.0,6.0,4.736363931411892
